quizzes,solutions
901007400500006807083004620205000009006590078000300000010840030370020010400010200,961287453524136897783954621235478169146592378897361542612849735378625914459713286
650190020037008004900200600804000000020800571065000003700901400013650008002007030,658194327237568914941273685874315269329846571165729843786931452413652798592487136
304096280860705310001030400200400001089060000050000720000001050920000004700500936,374196285862745319591832467237458691189267543456319728643971852925683174718524936
070006000218900700009850300906720080054000001000060000001408530340070090800605020,573216849218943756469857312936721485754389261182564973621498537345172698897635124
080500000097002806436010000100703004800000207023900065010007423650401090000090000,281576349597342816436819572165723984849165237723984165918657423652431798374298651
000041006003070200720000008079516002040097000500800300200000017054000090600153800,985241736463978251721635948379516482842397165516824379238469517154782693697153824
260800009900006180004000750000120803000004010091350020610907000030080590870040300,267815439953476182184293756546129873328764915791358624615937248432681597879542361
906000007080040103040905200200067005507004089008001040102003900400650030003700000,926138457785246193341975268294867315517324689638591742152483976479652831863719524
004039000010065200090700008002043005509001074000006900100004037380120040007050006,254839761718465293693712458872943615569281374431576982125694837386127549947358126
000050090702849000350020040007003500910000000604005720400980301203017600081600000,148356297762849135359721846827463519915278463634195728476982351293517684581634972
007384020006509007290001008040000010000003290915000006630700000509406701801200400,157384629486529137293671548342967815768153294915842376634718952529436781871295463
300000480006031005020607000200800094095200610003006007408000051700109308019050000,371925486986431275524687139267813594895274613143596827438762951752149368619358742
004090300218030700070402000005009008320000006700000410006304050047018020000650190,654791382218536749973482561465179238321845976789263415196324857547918623832657194
004829600067400390001000500140005003080102009075983000002000047093507208000060000,534829671867451392921736584149675823386142759275983416652398147493517268718264935
890060000052800406060507003070209001004010800000400052300000070620050194908071200,893164527752893416461527983576289341234715869189436752315942678627358194948671235
042000500800004071300900208004060003570030080000451002080100060090700300710096004,142678539859324671367915248924867153571239486638451792285143967496782315713596824
830600005002090700016005302000943001947008060080050000500207030068000040200814009,839672415452391786716485392625943871947128563381756924594267138168539247273814659
400090070900006001078054302000817009050042608030000020060930000002070105107620040,415293876923786451678154392246817539759342618831569724564931287392478165187625943
007009365020106800800003010906480000350010904000900200010000039005208700704050600,147829365523146897869573412976482153352617984481935276218764539635298741794351628
403020008050701090098400000030905700215004006060010000009002601700800530046030020,473629158652781493198453267834965712215374986967218345389542671721896534546137829
068530002040000570070001090000700408001659030320010000700890054230060000094000620,968537142142986573573241896659723418481659237327418965716892354235164789894375621
300470006050000201860305070000100508030080900704609002600502004900000000072040190,329471856457968231861325479296137548135284967784659312613592784948713625572846193
000002090047608013600390800700200050038000071019804600425107060001000000000039005,183742596947658213652391847764213958238965471519874632425187369391526784876439125
000050004530700601081009200000041076406582030910070020002304908000890560000000003,297156384534728691681439257325941876476582139918673425752364918143897562869215743
009006000230018000100700500007050049000600007480003610602430780010860200093007005,579346128236518974148792536367251849921684357485973612652439781714865293893127465
000000807020308006069001003031000700000004520008690040005409080600503900704820100,543962817127358496869741253431285769976134528258697341315479682682513974794826135
000160480048030006097004000003900850019002703060810000200005147300600002054020000,532167489148539276697284315423976851819452763765813924286395147371648592954721638
080501009720000605300009074000402300410030008900086047045900082003200000060800100,684571239729348615351629874578492361416735928932186547145963782893217456267854193
102040030030007090980100002017002000050060000400900068300200546065001007008030021,172649835536827194984153672617382459859764213423915768391278546265491387748536921
800506000000020680203090004402001860790300000008002705001708020300160000000034059,874516932519423687263897514452971863796385241138642795941758326325169478687234159
800400000016000050950318000302940080000000900040050326000170000670090004130206509,823465791416729853957318462362947185581632947749851326295174638678593214134286579
000009813034010002020007060183050000000060007005923040068030970009008051000405280,756249813834516792921387465183754629492861537675923148568132974249678351317495286
090500086400000370003600200050082090387160040000004001005816003900000050810930700,291573486468291375573648219154382697387169542629754831745816923936427158812935764
200013050040900000001204807579080006060000000083001025050068100720040063300700409,297813654845976231631254897579482316162537948483691725954368172728149563316725489
072008000510046380300000206890030071007090003400005600000009500103000020928070104,672318945519246387384957216895632471267491853431785692746129538153864729928573164
000008060642005000010709304507010000200506009090003700920000010030401205004380007,379248561642135978815769324567914832283576149491823756928657413736491285154382697
000190000090200150700065430206070300010658900004000087040080500600020048005903200,563194872498237156721865439286479315317658924954312687142786593639521748875943261
004000013800043270026507000001005438030060720900000500003076100642800000070902040,754289613819643275326517894261795438435168729987324561593476182642831957178952346
000018042007200100000000630030009020502603709740501000020400500901360004800095060,365718942497236158218954637136879425582643719749521386623487591951362874874195263
010006530402930860007000001600740085900080040000005200080500970103020004074600020,819476532452931867367258491621749385935182746748365219286514973193827654574693128
050000000902100043000070600003900015507408209080600034008005070004062001360004980,856243197972186543431579628643927815517438269289651734128395476794862351365714982
050030007078601000000000240400802900010907400800010065920076030005090002006304001,654239187278641359139785246467852913513967428892413765921576834345198672786324591
960010050020860004003002907401006825050780010300000000602093000007120003000005480,964317258725869134813542967471936825256784319398251746682493571547128693139675482
034850000670000800000600023000090706902000050050310000007102540060540008400938001,234859167671423895598671423843295716912786354756314982387162549169547238425938671
021560000000430600090000580070000014046803059259007000005091002008070406000600090,321568947587439621694712583873956214146823759259147368465391872918275436732684195
402806000003007100006043290000000304140082050057000900070100000000605830800094705,492816573583927146716543298268759314149382657357461982675138429924675831831294765
809003720000090034050100680005000000023017450080004306040008900067250000000049570,819463725276895134354172689495386217623917458781524396542738961967251843138649572
300102008809630000070050040000080017060207004005316090006540300400908200091000080,354172968819634725672859143923485617168297534745316892286541379437968251591723486
350090000082000071010607000000034010006780504029000780098002306001000048000560090,357891462682345971914627835875234619136789524429156783798412356561973248243568197
009407031600005004700082600054001267078000090000020500010000080030650402802300905,529467831681935724743182659354891267278546193196723548415279386937658412862314975
068009000700800000093067400004735020300000005000280670400651082010400009500020030,168349257745812396293567418684735921327196845951284673439651782812473569576928134
300790005608003200020060410000301050470580000800409760000057009903200008540000020,314792685658143297729865413296371854471586932835429761182657349963214578547938126
005006032090002846070300910200000304006079050017800000100020600000501027003460090,845196732391752846672384915289615374436279158517843269154927683968531427723468591
005090807090406520010030040000058090649200050800700103720900000036004010500001600,465192837397486521218537946173658492649213758852749163721965384936874215584321679
200380004080007001031690000300709600046020150010005073000900085052000700900046300,297381564684257931531694827325719648746823159819465273163972485452138796978546312
000007100000450009630080045500904320008570090490000071000800000810006032702309056,254697183187453269639182745571964328328571694496238571963825417815746932742319856
031008472500062090000000000000100340049506001027800000010003800000005709002407560,631958472574362198298741635856129347349576281127834956715693824463285719982417563
900060740584009100010020008009070004103005600408900003305080060000201050720306409,932168745584739126617524938259673814173845692468912573395487261846291357721356489
100364500067008004020100009609000001003520080400806700070031002000900300900402678,198364527567298134324175869689743251713529486452816793875631942246987315931452678
004000200000018096093750000520800030001304807000090010805000060470003029200670401,184936275752418396693752148527861934961324857348597612815249763476183529239675481
000980003053600081040050670920000056080007100004061200002305000060820400510040009,176982543253674981849153672921438756685297134734561298492315867367829415518746329
096200040004013200000070015070005400425600001800700093009500700002060080310800002,196258347754913268238476915973185426425639871861742593689521734542367189317894652
080300025002094007076200310000007600000020074500489001801060002004030050600001980,189376425352194867476258319243517698918623574567489231831965742794832156625741983
078009040003000200400060081007800000000020394060193005040082500102507006790600020,578219643613478259429365781937854162851726394264193875346982517182547936795631428
000400008079601200520007010000000465067500090400102300008094030050000020006380901,631429758879651243524837619182973465367548192495162387718294536953716824246385971
002070006060509310831000095090701008408690000203000100007040001006900280000325004,952173846764589312831264795695731428418692537273458169327846951546917283189325674
200903504003078009706104080900000805058001700004500060060409020407000100130607000,281963574543278619796154283912746835658391742374582961865419327427835196139627458
407050302002043050010980000290830004005007009308000016000000965000104703006020080,487651392962743158513982647291836574645217839378495216124378965859164723736529481
001000307004807029600043050700105003030060001806904200900058000020670000540020890,281596347354817629679243158792185463435762981816934275963458712128679534547321896
000820045020600310015009700007060001100007020960004030708310604053040009000908200,376821945429675318815439762587263491134597826962184537798312654253746189641958273
010700043805009027090032001570016090600984000100000000402893070007060500000400080,216758943835149627794632851578316492623984715149527368452893176987261534361475289
005032700010560029030040000900004060100800500720003908064010000000020687502009001,685932714417568329239741856958274163143896572726153948864317295391425687572689431
900180730703520089021000046200700600000045010040900008502009060180000300007603005,954186732763524189821397546219738654678245913345961278532879461186452397497613825
004000507026004010810006003000945300007600002391002040000080200063010700578000190,934128567726354819815796423682945371457631982391872645149587236263419758578263194
000049068840002059602005000214000090030000000900073541080057002300000600001890007,153749268847632159692185374214568793735914826968273541486357912379421685521896437
000004905100025000003600000340002000070408201006910570007000023500280019098070406,782134965169825347453697182341752698975468231826913574617549823534286719298371456
500176009301050400720009800460008030009000010008203047002380005940060200070005060,584176329391852476726439851467518932239647518158293647612384795945761283873925164
020107000000500009147008006030206090004005801080904605056800310009020040208003007,925167483863542179147398256531286794694735821782914635456879312379621548218453967
000702080042306500960084010605078200031250000080000790320000006400103007000000840,513792684842316579967584312695478231731259468284631795329847156458163927176925843
801020090005038007067000010090005370600900400078002060402080000309401250000050008,831726594945138627267594813194865372623917485578342169452689731389471256716253948
703008064090070085005120000040837009000019020060000007950000802020004070170350040,713598264692473185485126793241837659537619428869245317954761832326984571178352946
040050200970006005010000076000000580000240360403010009206300400700925010081600030,648157293972836145315492876129763584857249361463518729296381457734925618581674932
305006029600090140102047000000609057006018000830002006900001030080000200004075068,345186729678293145192547683421639857756418392839752416967821534583964271214375968
203670500000010790090304800500000401006230000728000600001007059005083200040090007,283679514654812793197354862539768421416235978728941635861427359975183246342596187
000000780400568020903020160800300010350890400091056200000087600000005390070940000,625139784417568923983724165864372519352891476791456238539287641248615397176943852
071000200002400035000960004600009000350008476007000501206830100040007000085010920,471583269962471835538962714614759382359128476827346591296835147143297658785614923
010070028000521047600040005080004090500000001064035000071006204000008300903700016,415673928398521647627849135782164593539287461164935782871396254256418379943752816
400590000086047015003800700040000309030200560702060080800605073001008050200109006,417592638986347215523816794648751329139284567752963481894625173361478952275139846
320600010800000037705020409500700802000503640901040000670089150002000000008406703,329674518846915237715328469534761892287593641961842375673289154452137986198456723
000000800704031060196207050008100903021340070450900002860009500005000006300000408,532694817784531269196287354678152943921348675453976182867429531245813796319765428
000050070018240006004009002036015090070400805140002037001000000000300029569807003,293658471718243956654179382836715294972436815145982637321594768487361529569827143
740960300001000087362000010620078400000200075800300090030640500050102003004005009,748961352591423687362857914629578431413296875875314296137649528956182743284735169
026050009000710206000000487070490601002003800603001004000008970800065002049230000,726854319384719256951326487578492631412673895693581724265148973837965142149237568
104000807003002510000308624015070000300600902900000450001405063000096008402800000,124569837683742519759318624215974386348651972976283451891425763537196248462837195
001095000580007602640803900370042008802500073000000061700000004003006050090200780,231695847589417632647823915376142598812569473954378261768951324423786159195234786
007300082001589070600001009006210030003805004520006907040008060000070503710040000,957364182231589476684721359496217835173895624528436917342958761869172543715643298
000853000094600008000090072700000290300408006050010300902060040003705001081002063,267853419194627538835194672718536294329478156456219387972361845643785921581942763
000176024003020900001000865900700000042900080308014050207600000100430006090502710,859176324463825971721349865916758432542963187378214659237691548185437296694582713
001630045000005800086270090938007010060090200070400350300002074004060001020109500,291638745743915862586274193938527416465391287172486359319852674854763921627149538
907003006205000730160700009700620800000004050300809410001050048500090270000138000,947583126285961734163742589714625893829314657356879412691257348538496271472138965
002014800095300040000790003800540370036208001000000902604001008000050010200800560,372614895195382647468795123821549376936278451547163982654921738783456219219837564
360070000000031702090800001506700100048026000700018500904302008002900050050060070,361279845485631792297845361526793184148526937739418526974352618612987453853164279
001000000060780351040620700780000013000090070003140902500362000007900060200400809,871539624962784351345621798789256413124893576653147982598362147437918265216475839
007090500160005003040000910016000082000460100300078409280530007000289050030006004,827391546169845273543627918416953782798462135352178469281534697674289351935716824
056100900209480700010003400000000040103007080960005300370200100000090050804030620,456172938239486715718953462587319246143627589962845371375268194621794853894531627
000703045002001903051800000800507601900100074007069200008406530006000007130000802,689723145742651983351894726823547691965182374417369258278416539596238417134975862
529060034400075002603400010000703800086002000001500097300098240090004071005000600,529861734418375962673429518954713826786942153231586497367198245892654371145237689
007036100000070532028145070034080000910400057600700010450600920000008000000920060,597236184146879532328145679734581296912463857685792413453617928269358741871924365
704090600008234007035600000040805910802900005090070830000020571600010400270000090,724591683968234157135687249347865912812943765596172834489326571653719428271458396
020007090314005600090031402000000040008563000201809507500008021000900000780100305,625487193314295678897631452953712846478563219261849537546378921132956784789124365
001090005038100760950600080007900200009748500010030004200309041600407850000020300,761893425438152769952674183547961238329748516816235974275389641693417852184526397
305000002800704009007008451500300786000507100003086000029000030601040507000620904,345961872812754369967238451594312786286597143173486295429175638631849527758623914
940006300802504100010300027006007052003908700008050940000040608000893000700100509,947216385832574196615389427196437852453928761278651943329745618561893274784162539
500020096903004007000038450080000010096140500704000203850013020100097840060000000,548721396923564187671938452285376914396142578714859263857413629132697845469285731
900410000100000075050080300080209700709060504520030600004001009300602080217000006,973415862148326975652987341486259713739168524521734698864571239395642187217893456
400000506016003000790010420070050900900006001820704030204500160007800050350200008,432978516516423897798615423673152984945386271821794635284537169167849352359261748
030000875098004000056007403079680001203010000061030057000908026000200730004570900,432196875798354162156827493579682341243715689861439257317948526985261734624573918
050410000300008540000760083090000071002800360800047002009372016040600000010090200,758413629361928547924765183495236871172859364836147952589372416243681795617594238
060100803000250017870040000008060002090004070504079006003980050400006908007000201,265197843349258617871643529738561492196824375524379186613982754452716938987435261
700090000100300968006052000080476300230000010907200005010009073400001006359004002,743698251125347968896152734581476329234985617967213845618529473472831596359764182
020546300400070200956020080807003150030000900004100002005062090100708000600900843,728546319413879265956321487867293154231654978594187632385462791149738526672915843
052007006309200040000090805600508210013064700080300094506000000030420009040801300,852147936369285147471693825694578213213964758785312694526739481138426579947851362
000400006020008317910300008050076800102003709009040000041080060700600000380020504,538417296624598317917362458453976821162853749879241635241785963795634182386129574
900607012800000357000020009000061000234089000001040035003200548050900120106008000,945637812862194357317825469579361284234589671681742935793216548458973126126458793
210075900600000005007348600062000780701920030090000004500002061034010200000789400,213675948648291375957348612462153789781924536395867124579432861834516297126789453
180000409004160305070002000090203080800049102500070000000906530603007001059010708,186735429924168375375492816491253687837649152562871943718926534643587291259314768
000000042125400096079000800810902300000080920000107060000600504704003000690010087,368795142125438796479261853816942375547386921932157468281679534754823619693514287
405360000201500007600002000830009002000080070004700015009001040000020390102603758,485367129291548637673912584837159462516284973924736815359871246768425391142693758
050000403003027009806410000019600580000100000008032047002005600401006750070380020,257869413143527869896413275319674582724158396568932147982745631431296758675381924
840090000300705006000200140006870320410009058007003600590310002000060987062004000,845196273321745896679238145956871324413629758287453619598317462134562987762984531
730009005800000020050841030049100280000050614026007000013700560005360008090000003,731629845864573921952841736549136287387952614126487359413798562275364198698215473
640800010700040003003006005050671000100500026907028050000105070382400000000039460,649853217715942683823716945254671839138594726967328154496185372382467591571239468
000401900013050040002300508570260000008030600304009075050917002400008009201000060,685471923913852746742396518579264381128735694364189275856917432437628159291543867
800023000006940300000007102180070050000300400720105000908054670010600028500000003,891523764276941385345867192183476259659382417724195836938254671417639528562718943
000000396730050410000086700009200650200703000080061000053000104812000067040009030,528174396736952418491386725179248653265793841384561279953627184812435967647819532
600310208005090041000008090003070905290004060078006000100659000826140000000702030,649315278385297641712468593463871925291534867578926314137659482826143759954782136
070080010006200059803040060001009700060004003250107090930010006408065070005000402,572986314146273859893541267381629745769854123254137698937412586428365971615798432
000000004740620900309005010007086000010400008605937200501000086800503407230700059,152379864748621935369845712427186593913452678685937241571294386896513427234768159
680700003070090210309562000700010009050204000201905308040000875006100000800003690,682741953475398216319562784734816529958234167261975348143629875596187432827453691
350000090082106000700090510020000700540200800009340061000071056090002000607089304,351724698982156473764893512123968745546217839879345261238471956495632187617589324
076800500310690000800700043002007065004100070000005309000010800907362100250400000,476823591315694782829751643132987465594136278768245319643519827987362154251478936
000107460000080002060500937200036740056008090040050081900000300824079500010200000,532197468497683152168524937281936745756418293349752681975861324824379516613245879
054008007900530600030007012201060900000700001845000000000300700760405830080209004,154628397927531648638947512271864953396752481845193276419386725762415839583279164
008340051003900000260000000024670030100800594309000700800107903000008410050460002,798346251413925687265781349524679138176832594389514726842157963637298415951463872
054000200800000730690210000087020104040500080500900620029006015300000069000840300,754368291812495736693217548987623154246571983531984627429736815378152469165849372
209106000400030068070080509900008056000009080001042070050000027306401000098600340,289156734415937268673284519932718456547369182861542973154893627326471895798625341
097000530403002180600054900004001702170000865800906000012807040900030000030200001,297618534453792186681354927364581792179423865825976413512867349946135278738249651
006857090700004065008030000075000080023480001100002004910320040004005072300006900,246857193731294865598631427475163289623489751189572634917328546864915372352746918
000070200030408970070290341041005030200301605590000800000060100700000089928700000,469173258132458976875296341641985732287341695593627814354869127716532489928714563
040910830070005042010700060000060010308009205021000003057600004000203900906058000,542916837679835142813724569795362418368149275421587693257691384184273956936458721
900800000701000045600030207190070024020000680004509013300960000050002001006004058,942857136731296845685431297193678524527143689864529713318965472459782361276314958
006100059000340000280500700390070805051008074004620000900000016400200000035700980,746182359519347628283596741392471865651938274874625193927853416468219537135764982
100504030520061900300709006005000010403000800089100205000006308870205609004970020,196584732527361984348729156265897413413652897789143265952416378871235649634978521
060000205009807013050090070090028460001005007000361058908100040720004000004600032,867413295249857613153296874395728461681945327472361958938172546726534189514689732
200600007030008010504030900063920408001003002002004360140000275000076000908500600,219645837637298514584137926763921458451863792892754361146389275325476189978512643
003126000070490180900000000240060000097005408600701000020000850304870206001300007,483126795576493182912587634245968371197235468638741529729614853354879216861352947
000001080002940000730802610613090407500067209000400000004500820860700300300000095,456371982182946573739852614613298457548167239297435168974513826865729341321684795
200040010016080590800007000008010900009000642070930850300020400000360020700598036,257649318416283597893157264528416973139875642674932851365721489981364725742598136
050908000030650021001024069049003000067040010508090300010500700602000008800701003,256918437934657821781324569149273685367845912528196374413582796672439158895761243
072010035000009008060703020504906100030087004007500080005008017020600409019020060,972814635351269748468753921584936172236187594197542386645398217823671459719425863
630000020090000146000801090010700080009503604240109007524030000070200860008070000,631497528897352146452861793315746289789523614246189357524638971973214865168975432
001009020500380000246000009000000130800024067010706400407890006600040503003075800,381469725579382641246517389764958132835124967912736458457893216698241573123675894
000010069307200050102465070070600028501049700083000000030920004908036510000000000,854317269367298451192465873479653128521849736683172945735921684948736512216584397
501004830006007020000800956000000270860001405002490003007086000090340700005200081,521964837986537124374812956419653278863721495752498613237186549198345762645279381
000075040480001060067080002200190073003000090900020501070000950020900308001306400,132675849489231765567489132258194673713568294946723581374812956625947318891356427
075000401100300029000070008027690000340007062000008300000409010430800007086020500,875962431164385729293174658527693184348517962619248375752439816431856297986721543
700500200096000000500090613000140005073008020008026049084000001900001700210039084,731564298896312457542897613629143875473958126158726349384275961965481732217639584
196000004004000320007081005003205740040096500082000090008109600300074000020530007,196352874854967321237481965963215748741896532582743196478129653315674289629538417
004009106080320050070864000006037509401002030000400000703050624962000810500000003,234579186689321457175864392826137549451692738397485261713958624962743815548216973
002500030740900060605002908506000380023710009090005000007890205010000047008201600,982567134741938562635142978576429381823716459194385726367894215219653847458271693
080054060006000810070006203300041005001680790060027040000738000048000030902000100,283154967596372814174896253327941685451683792869527341615738429748219536932465178
001650300009020080006003471800705206500009030104060007030170500000804720002000019,481657392379421685256983471893715246567249138124368957938172564615894723742536819
080209017000050000097000063900036270600020008400108005003007004020040806510080030,385269417146753982297814563958436271671925348432178695863597124729341856514682739
005607000490080000800004190070421600203070010000530400000310009036000280058002007,315697824492183756867254193579421638243876915681539472724318569936745281158962347
300060805002000019008004030030045720029830000800607001005090100000100072090703064,317269845542378619968514237136945728729831456854627391675492183483156972291783564
020790040350080000000050986530600001000008070401070032800203009700965000006000100,628791345359486217174352986537624891962138574481579632845213769713965428296847153
106000000920000407000925300004107836070050902801030040500600008009840000300000270,136784529925361487487925361254197836673458912891236745542673198719842653368519274
050000023408310000607004800810200590095000034040007000900002008001079000200058140,159786423428315976637924815816243597795861234342597681964132758581479362273658149
700082059091700000200006400010030002002600538850400007006390020075000100300010804,764182359591743286238956471617835942942671538853429617186394725475268193329517864
901000000060700040003500891086905074020000360007420100038040005400091002009603080,951384726862719543743562891186935274524178369397426158638247915475891632219653487
003060004160000000200905107510800700000021950304050208809304000050270030006009420,973162584165748392248935167512893746687421953394657218829314675451276839736589421
090502100400680200060000038006000003250706000080049001500907460009004000100800370,893572146415683297762491538946158723251736984387249651538917462679324815124865379
052008090400072000100600004590000407060004280030090150300045008807029001010706300,652418793483972615179653824598261437761534289234897156326145978847329561915786342
000400100065090034043008007750200390390710002008060001000000500810042600074906200,987423165265197834143658927751284396396715482428369751632871549819542673574936218
940320780063000010000004500174600900000408360000190002608207090000010023090050600,945321786763589214812764539174632958529478361386195472638247195457916823291853647
800500030069700000030040180510806003200005700600092014000900840050034602071020009,842561937169783425735249186514876293293415768687392514326957841958134672471628359
900075400641000005000300081000607090500008107102090040053040009809031200400200860,938175426641982375725364981384617592596428137172593648253846719869731254417259863
608720003923040000001060050000009800034100020597300460000294680070508092000000010,658721943923845176741963258162479835834156729597382461315294687476518392289637514
900003000135780000070950004062000490080600537000401060056007100740000980009306002,924163875135784629678952314362578491481629537597431268256897143743215986819346752
400080073002100650860032000040208500007400010230590006000004009103006000620900085,419685273372149658865732491946218537587463912231597846758324169193856724624971385
030100084870590062006008050007050628925000070040001300200000000050372010001480009,532167984874593162196248753317954628925836471648721395283619547459372816761485239
100380000402060070930047021200000945604905000080000310005608004000700500306400790,167382459452169873938547621273816945614935287589274316795628134841793562326451798
070000001006003409009801005280090060000540970000306500800710040002009000054620103,378954621516273489429861735285197364631542978947386512893715246162439857754628193
500901040000000802001027560000235000683004000000000170105000038768040050342100790,526981347479563812831427569917235684683714925254896173195672438768349251342158796
400207680603004700025900000000090540070000000100500203002360070367010002800040090,419237685683154729725986134238691547576423918194578263942365871367819452851742396
100050268300410000000608043004000090020786500071020000608540020009003081400090007,147359268386412975295678143864135792923786514571924836618547329759263481432891657
020900408805070036000010000004007002072105090001300600050060900340851007006204080,127936458895472136463518729934687512672145893581329674258763941349851267716294385
108600700200047030000020005700100364000093800850400000004302970091080000002560401,148635792265947138937821645729158364416293857853476219584312976691784523372569481
030000040000070201100059080240010603000800025097003000004500700301260009806094100,739182546485376291162459387248915673613847925597623814924531768371268459856794132
760508010901000000000009604008350270100000300502010090000000549070640102053200080,764528913921463857385179624698354271147982365532716498216837549879645132453291786
800067040001400906000031050908006200502300084010050600090000100756008030003024070,825967341371485926649231857938746215562319784417852693294573168756198432183624579
070206059005003000040018003260700304000030265038000000000150490059007802602400000,873246159125973648946518723261795384794831265538624971387152496459367812612489537
090860102000002054008047000275009400004000001100300060002076309300500080910080006,493865172761932854528147693275619438634758921189324765852476319346591287917283546
